graphs,hipdpl_graphs #,hipmcl_graphs #,edges,domain
europe_osm,2878,17488537,108109320,Road
road_usa,1408,9386710,57708624,Road
road_central,1045,5526059,33866826,Road
delaunay_n24,270,2671166,100663202,Delaunay
delaunay_n23,220,1336643,50331568,Delaunay
delaunay_n22,179,667859,25165738,Delaunay
p2p-Gnutella31,36697,16268,295784,Internet
p2p-Gnutella30,16795,9449,176656,Internet
p2p-Gnutella25,5876,5975,109410,Internet
coPapersCiteseer,353,14868,32073440,Citation
citationCiteseer,107,49237,2313294,Citation
coAuthorsDBLP,244,36123,1955352,Citation
amazon0601,816,55857,4886816,Consumer
amazon0505,12163,56739,4878874,Consumer
com-Amazon,235,46551,1851744,Consumer
coPapersDBLP,189,19112,30491458,Collaboration
com-DBLP,199,37959,2099732,Collaboration
ca-AstroPh,319,2233,396160,Collaboration
email-EuAll,55683,17911,730051,Communication
email-Enron,1173,2482,367662,Communication
email-Eu-core,1004,20,32770,Communication
wiki-Vote,8296,1653,103689,Other
bips98_606,7134,2300,34738,Other
ak2010,80,3371,217098,Other
kron_g500-logn19,343479,118446,43562265,Rmat
kron_g500-logn17,84270,23615,10228360,Rmat
kron_g500-logn18,169616,53154,21165908,Rmat
rgg_n_2_24_s0,421,814699,265114400,Rgg
rgg_n_2_18_s0,145,17394,3094566,Rgg
arch,66786,107207,204784551,Protein
virus,33098,37216,4583048,Protein
euk,181161,284026,359744161,Protein