graph,hipmcl_conductance,hipdpl_conductance,edges,domain,deviation
europe_osm,0.3074369858,0.7543946106,108109320,Road,59.24719219
road_usa,0.678564,0.001119109693,57708624,Road,-60534.27061
road_central,0.672902,0.001541248165,33866826,Road,-43559.54915
delaunay_n24,0.508536,0.6313909224,100663202,Delaunay,19.4578221
delaunay_n23,0.510774,0.008885616322,50331568,Delaunay,-5648.323825
delaunay_n22,0.5323214582,0.010916321,25165738,Delaunay,-4776.381504
p2p-Gnutella31,0.6730642145,0.7132583434,295784,Internet,5.635283379
p2p-Gnutella30,0.6785465449,0.7052693473,176656,Internet,3.78902082
p2p-Gnutella25,0.684577131,0.6895873824,109410,Internet,0.7265578728
coPapersCiteseer,0.3938675585,0.04412976674,32073440,Citation,-792.5212788
citationCiteseer,0.6803043662,0.07829733944,2313294,Citation,-768.8729031
coAuthorsDBLP,0.575617194,0.100403045,1955352,Citation,-473.3065111
amazon0601,0.6011281429,0.05822979375,4886816,Consumer,-932.3377505
amazon0505,0.6052233524,0.06944371286,4878874,Consumer,-771.5308088
com-Amazon,0.5579406255,0.03972755003,1851744,Consumer,-1304.417401
coPapersDBLP,0.4471912736,0.09986182154,30491458,Collaboration,-347.8100506
com-DBLP,0.5982681776,0.1092977794,2099732,Collaboration,-447.3745037
ca-AstroPh,0.6776804468,0.02354358514,396160,Collaboration,-2778.408037
email-EuAll,0.9322298458,0.2795202352,730051,Communication,-233.5106831
email-Enron,0.6742102029,0.01007046019,367662,Communication,-6594.92943
email-Eu-core,0.001219512195,0.4896739818,32770,Communication,99.75095426
wiki-Vote,0.2450276157,0.8189319836,103689,Other,70.07961337
bips98_606,0.3914619763,0.6850861692,34738,Other,42.85945419
ak2010,0.5842029698,0.02902276034,217098,Other,-1912.913186
kron_g500-logn19,0.02767129433,0.4797961262,43562265,Rmat,94.23269743
kron_g500-logn17,0.01898474893,0.7133167192,10228360,Rmat,97.33852461
kron_g500-logn18,0.02173135012,0.6821369546,21165908,Rmat,96.81422477
rgg_n_2_24_s0,0.005200350279,0.005200350279,265114400,Rgg,0
rgg_n_2_18_s0,0.01333635819,0.01333635819,3094566,Rgg,0
arch,0.6074890055,0.9999858505,204784551,Protein,39.25023987
virus,0.6008282238,0.9999774156,4583048,Protein,39.91582066
euk,,0.9999949932,359744161,Protein,100