Name,Domain,Vertex,Edge,Rank,Time,Modularity,HipDPL
kron_g500-logn21,Rmat,2097152,182082942,16,77.3952,0.0624587,HipDPL
kron_g500-logn21,Rmat,2097152,182082942,64,26.0698,0.0298327,HipDPL
kron_g500-logn21,Rmat,2097152,182082942,256,14.4348,0.0270403,HipDPL
kron_g500-logn21,Rmat,2097152,182082942,1024,8.91521,0.0297257,HipDPL
kron_g500-logn18,Rmat,262144,21165908,1024,3.85125,0.0143043,HipDPL
kron_g500-logn18,Rmat,262144,21165908,16,4.7355,0.0143043,HipDPL
kron_g500-logn18,Rmat,262144,21165908,64,2.86723,0.0143043,HipDPL
kron_g500-logn18,Rmat,262144,21165908,256,3.05531,0.0143043,HipDPL
kron_g500-logn17,Rmat,131072,10228360,1024,3.96376,0.00798803,HipDPL
kron_g500-logn17,Rmat,131072,10228360,64,2.42355,0.00798803,HipDPL
kron_g500-logn17,Rmat,131072,10228360,16,2.8854,0.00798803,HipDPL
kron_g500-logn17,Rmat,131072,10228360,256,2.91904,0.00798803,HipDPL
as-Skitter,Internet,1696415,22190596,1024,6.45979,0.84048,HipDPL
as-Skitter,Internet,1696415,22190596,16,24.765,0.840386,HipDPL
as-Skitter,Internet,1696415,22190596,64,10.5957,0.841384,HipDPL
as-Skitter,Internet,1696415,22190596,256,5.16042,0.84037,HipDPL
cit-Patents,Citation,3774768,16518948,64,40.9808,0.665314,HipDPL
cit-Patents,Citation,3774768,16518948,16,118.998,0.673398,HipDPL
cit-Patents,Citation,3774768,16518948,1024,34.9834,0.665981,HipDPL
cit-Patents,Citation,3774768,16518948,256,25.7287,0.666443,HipDPL
wiki-Talk,Other,2394385,5021410,1024,68.0555,0.0807907,HipDPL
wiki-Talk,Other,2394385,5021410,256,83.6201,0.0806761,HipDPL
wiki-Talk,Other,2394385,5021410,64,142.936,0.0813032,HipDPL
wiki-Talk,Other,2394385,5021410,16,130.811,0.081164,HipDPL
ak2010,Other,45292,217098,64,1.91166,0.919953,HipDPL
ak2010,Other,45292,217098,1024,7.09447,0.921032,HipDPL
ak2010,Other,45292,217098,256,2.93664,0.920384,HipDPL
ak2010,Other,45292,217098,16,1.43188,0.920007,HipDPL
amazon0505,Consumer,410236,3356824,256,5.56326,0.876528,HipDPL
amazon0505,Consumer,410236,3356824,1024,5.95432,0.875584,HipDPL
amazon0505,Consumer,410236,3356824,16,4.6619,0.876686,HipDPL
amazon0505,Consumer,410236,3356824,64,4.05286,0.876089,HipDPL
amazon0601,Consumer,403394,3387388,1024,9.86949,0.882005,HipDPL
amazon0601,Consumer,403394,3387388,256,3.96013,0.881932,HipDPL
amazon0601,Consumer,403394,3387388,16,5.08604,0.881781,HipDPL
amazon0601,Consumer,403394,3387388,64,4.12644,0.882586,HipDPL
archaea,Protein,1644227,409585308,256,171.532,0.99624,HipDPL
archaea,Protein,1644227,409585308,16,107.447,0.996241,HipDPL
archaea,Protein,1644227,409585308,64,39.1032,0.99624,HipDPL
archaea,Protein,1644227,409585308,1024,8.42997,0.99624,HipDPL
bips98_606,Other,7135,34738,16,1.77628,0.25,HipDPL
bips98_606,Other,7135,34738,256,2.18839,0.25,HipDPL
bips98_606,Other,7135,34738,64,2.10113,0.25,HipDPL
bips98_606,Other,7135,34738,1024,7.16308,0.25,HipDPL
ca-AstroPh,Collaboration,18772,396160,1024,4.45011,0.62116,HipDPL
ca-AstroPh,Collaboration,18772,396160,256,3.11189,0.62116,HipDPL
ca-AstroPh,Collaboration,18772,396160,16,1.95075,0.619454,HipDPL
ca-AstroPh,Collaboration,18772,396160,64,2.65031,0.618699,HipDPL
citationCiteseer,Citation,268495,2313294,64,3.50361,0.799052,HipDPL
citationCiteseer,Citation,268495,2313294,16,5.77235,0.799077,HipDPL
citationCiteseer,Citation,268495,2313294,1024,11.7973,0.798947,HipDPL
citationCiteseer,Citation,268495,2313294,256,2.57896,0.798851,HipDPL
coAuthorsDBLP,Citation,299067,1955352,256,2.37496,0.820803,HipDPL
coAuthorsDBLP,Citation,299067,1955352,1024,5.94691,0.820438,HipDPL
coAuthorsDBLP,Citation,299067,1955352,64,3.79998,0.820584,HipDPL
coAuthorsDBLP,Citation,299067,1955352,16,3.83671,0.820938,HipDPL
com-Amazon,Consumer,334863,1851744,16,4.70391,0.923039,HipDPL
com-Amazon,Consumer,334863,1851744,64,3.25276,0.922502,HipDPL
com-Amazon,Consumer,334863,1851744,256,3.55354,0.922944,HipDPL
com-Amazon,Consumer,334863,1851744,1024,5.71878,0.92261,HipDPL
com-DBLP,Collaboration,317080,2099732,64,3.77564,0.815281,HipDPL
com-DBLP,Collaboration,317080,2099732,1024,5.07972,0.814854,HipDPL
com-DBLP,Collaboration,317080,2099732,256,3.98558,0.814744,HipDPL
com-DBLP,Collaboration,317080,2099732,16,4.51055,0.816047,HipDPL
coPapersCiteseer,Citation,434102,32073440,16,4.97517,0.918415,HipDPL
coPapersCiteseer,Citation,434102,32073440,256,2.48034,0.921289,HipDPL
coPapersCiteseer,Citation,434102,32073440,64,4.06673,0.918094,HipDPL
coPapersCiteseer,Citation,434102,32073440,1024,8.10334,0.921193,HipDPL
coPapersDBLP,Collaboration,540486,30491458,256,3.69457,0.857283,HipDPL
coPapersDBLP,Collaboration,540486,30491458,1024,4.64142,0.857896,HipDPL
coPapersDBLP,Collaboration,540486,30491458,64,4.92829,0.857461,HipDPL
coPapersDBLP,Collaboration,540486,30491458,16,6.75635,0.857515,HipDPL
delaunay_n22,Delaunay,4194304,25165738,16,37.764,0.983638,HipDPL
delaunay_n22,Delaunay,4194304,25165738,1024,5.56221,0.983258,HipDPL
delaunay_n22,Delaunay,4194304,25165738,64,13.3285,0.983405,HipDPL
delaunay_n22,Delaunay,4194304,25165738,256,4.27166,0.983242,HipDPL
delaunay_n23,Delaunay,8388608,50331568,256,7.65711,0.986442,HipDPL
delaunay_n23,Delaunay,8388608,50331568,16,85.0828,0.986639,HipDPL
delaunay_n23,Delaunay,8388608,50331568,1024,6.59482,0.986527,HipDPL
delaunay_n23,Delaunay,8388608,50331568,64,26.6123,0.986442,HipDPL
delaunay_n24,Delaunay,16777216,100663202,64,58.1162,0.989032,HipDPL
delaunay_n24,Delaunay,16777216,100663202,1024,11.2968,0.988921,HipDPL
delaunay_n24,Delaunay,16777216,100663202,256,15.5159,0.98904,HipDPL
delaunay_n24,Delaunay,16777216,100663202,16,192.843,0.988931,HipDPL
email-Enron,Communication,36692,367662,256,2.10528,0.608374,HipDPL
email-Enron,Communication,36692,367662,16,1.51951,0.607955,HipDPL
email-Enron,Communication,36692,367662,1024,4.1731,0.608419,HipDPL
email-Enron,Communication,36692,367662,64,1.83293,0.608011,HipDPL
email-Eu-core,Communication,1005,25571,256,2.56144,0.0143166,HipDPL
email-Eu-core,Communication,1005,25571,16,1.41537,0.0143166,HipDPL
email-Eu-core,Communication,1005,25571,1024,3.71109,0.0143166,HipDPL
email-Eu-core,Communication,1005,25571,64,1.35913,0.0143166,HipDPL
email-EuAll,Communication,265214,420045,1024,6.50825,0.644043,HipDPL
email-EuAll,Communication,265214,420045,64,2.52854,0.642023,HipDPL
email-EuAll,Communication,265214,420045,256,2.11684,0.644053,HipDPL
email-EuAll,Communication,265214,420045,16,2.17207,0.644091,HipDPL
eukarya,Protein,3243106,719527872,1024,18.0746,0.995372,HipDPL
eukarya,Protein,3243106,719527872,256,35.155,0.995372,HipDPL
eukarya,Protein,3243106,719527872,64,89.6799,0.995387,HipDPL
eukarya,Protein,3243106,719527872,16,254.529,0.995382,HipDPL
europe_osm,Road,50912018,108109320,1024,16.9715,0.998877,HipDPL
europe_osm,Road,50912018,108109320,16,491.307,0.998876,HipDPL
europe_osm,Road,50912018,108109320,64,136.754,0.998872,HipDPL
europe_osm,Road,50912018,108109320,256,35.398,0.998869,HipDPL
kron_g500-logn19,Rmat,524288,43562265,1024,4.86625,0.00887286,HipDPL
kron_g500-logn19,Rmat,524288,43562265,64,4.7577,0.00887286,HipDPL
kron_g500-logn19,Rmat,524288,43562265,256,5.42932,0.00887286,HipDPL
kron_g500-logn19,Rmat,524288,43562265,16,9.69326,0.00887286,HipDPL
p2p-Gnutella25,Internet,22687,54705,256,2.26421,0.289137,HipDPL
p2p-Gnutella25,Internet,22687,54705,1024,5.53042,0.31936,HipDPL
p2p-Gnutella25,Internet,22687,54705,64,2.65491,0.257489,HipDPL
p2p-Gnutella25,Internet,22687,54705,16,2.0655,0.325129,HipDPL
p2p-Gnutella30,Internet,36682,88328,64,2.05998,0.257739,HipDPL
p2p-Gnutella30,Internet,36682,88328,16,2.65143,0.264727,HipDPL
p2p-Gnutella30,Internet,36682,88328,256,1.89885,0.197638,HipDPL
p2p-Gnutella30,Internet,36682,88328,1024,5.30902,0.243234,HipDPL
p2p-Gnutella31,Internet,62586,147892,1024,4.88311,0.179812,HipDPL
p2p-Gnutella31,Internet,62586,147892,64,2.28944,0.225565,HipDPL
p2p-Gnutella31,Internet,62586,147892,16,3.24088,0.230671,HipDPL
p2p-Gnutella31,Internet,62586,147892,256,1.93827,0.287755,HipDPL
rgg_n_2_18_s0,Rgg,262144,3094566,16,2.20882,0.979456,HipDPL
rgg_n_2_18_s0,Rgg,262144,3094566,1024,5.58358,0.979253,HipDPL
rgg_n_2_18_s0,Rgg,262144,3094566,64,2.56762,0.979724,HipDPL
rgg_n_2_18_s0,Rgg,262144,3094566,256,2.53566,0.979707,HipDPL
rgg_n_2_24_s0,Rgg,16777216,265114400,1024,9.11702,0.99265,HipDPL
rgg_n_2_24_s0,Rgg,16777216,265114400,64,8.05111,0.992634,HipDPL
rgg_n_2_24_s0,Rgg,16777216,265114400,256,4.58418,0.992653,HipDPL
rgg_n_2_24_s0,Rgg,16777216,265114400,16,25.4077,0.992617,HipDPL
road_central,Road,14081816,33866826,64,17.6767,0.997191,HipDPL
road_central,Road,14081816,33866826,1024,5.98947,0.9972,HipDPL
road_central,Road,14081816,33866826,16,50.203,0.997222,HipDPL
road_central,Road,14081816,33866826,256,6.11293,0.997198,HipDPL
road_usa,Road,23947347,57708624,16,38.1895,0.997911,HipDPL
road_usa,Road,23947347,57708624,64,16.8306,0.997892,HipDPL
road_usa,Road,23947347,57708624,1024,6.03533,0.997921,HipDPL
road_usa,Road,23947347,57708624,256,6.38027,0.997917,HipDPL
virus,Protein,219715,9166596,64,3.00152,0.995748,HipDPL
virus,Protein,219715,9166596,16,4.53683,0.995748,HipDPL
virus,Protein,219715,9166596,1024,157.084,0.995748,HipDPL
virus,Protein,219715,9166596,256,5.17404,0.995748,HipDPL
wiki-Vote,Other,8297,103689,1024,6.18094,0.0234886,HipDPL
wiki-Vote,Other,8297,103689,256,2.06679,0.0234886,HipDPL
wiki-Vote,Other,8297,103689,16,2.57536,0.0234886,HipDPL
wiki-Vote,Other,8297,103689,64,1.50916,0.0234886,HipDPL
soc-sinaweibo,Social,58655849,522642104,1024,248.473,0.499176,HipDPL
soc-sinaweibo,Social,58655849,522642104,16,79.8377,0.499305,HipDPL
soc-sinaweibo,Social,58655849,522642104,64,26.88,0.499443,HipDPL
soc-sinaweibo,Social,58655849,522642104,256,18.08,0.499413,HipDPL
soc-twitter-2010,Social,21297772,530051354,1024,686.6884058,0.481843,HipDPL
soc-twitter-2010,Social,21297772,530051354,256,377.727,0.479507,HipDPL
soc-twitter-2010,Social,21297772,530051354,16,404.472,0.479298,HipDPL
soc-twitter-2010,Social,21297772,530051354,64,175.356,0.479702,HipDPL
soc-LiveJournal1,Social,4847571,68993773,1024,16.8325,0.729213,HipDPL
soc-LiveJournal1,Social,4847571,68993773,256,27.2263,0.729268,HipDPL
soc-LiveJournal1,Social,4847571,68993773,16,184.29,0.728653,HipDPL
soc-LiveJournal1,Social,4847571,68993773,64,67.919,0.727674,HipDPL
uk-2002,Web,18520486,298113762,1024,9.04329,0.94384,HipDPL
uk-2002,Web,18520486,298113762,64,13.0651,0.943654,HipDPL
uk-2002,Web,18520486,298113762,16,44.5012,0.943749,HipDPL
uk-2002,Web,18520486,298113762,256,9.27523,0.943796,HipDPL
uk-2005,Web,39459925,936364282,64,38.6428,0.957103,HipDPL
uk-2005,Web,39459925,936364282,16,92.3982,0.957002,HipDPL
uk-2005,Web,39459925,936364282,1024,23.2723,0.957177,HipDPL
uk-2005,Web,39459925,936364282,256,25.3642,0.957088,HipDPL
webbase-1M,Web,1000005,3105536,1024,5.99576,0.983561,HipDPL
webbase-1M,Web,1000005,3105536,256,3.94046,0.983682,HipDPL
webbase-1M,Web,1000005,3105536,64,4.05888,0.981223,HipDPL
webbase-1M,Web,1000005,3105536,16,1.90582,0.983322,HipDPL
webbase-2001,Web,118142155,1019903190,256,187.079,0.904796,HipDPL
webbase-2001,Web,118142155,1019903190,16,542.872,0.904786,HipDPL
webbase-2001,Web,118142155,1019903190,64,237.815,0.904705,HipDPL
webbase-2001,Web,118142155,1019903190,1024,138.311,0.904669,HipDPL
rgg_n_27_s0,Rmat,,,16,6754.051,,HipDPL
rgg_n_27_s0,Rmat,,,64,1285.12,,HipDPL
rgg_n_27_s0,Rmat,,,256,385.88,,HipDPL
rgg_n_27_s0,Rmat,,,1024,158.819,,HipDPL
com-Friendster,Social,,,16,13187.3,,HipDPL
com-Friendster,Social,,,64,3530.73,,HipDPL
com-Friendster,Social,,,256,1352.57,,HipDPL
com-Friendster,Social,,,1024,420.441,,HipDPL
twitter7,Social,,,16,2517.994924,,HipDPL
twitter7,Social,,,64,1835.59,,HipDPL
twitter7,Social,,,256,1120.57,,HipDPL
twitter7,Social,,,1024,589.294,,HipDPL