graph,HipMCL (igraph),HipDPL-GPU (igraph),edges,HipDPL-GPU (org. optimized),Deviation (%) HipDPL-GPU (igraph),"Deviation(%) HipMCL (igraph)

",domain
europe_osm,0.2333299425,0.9987053374,108109320,0.998877,0.01718555558,76.63675824,Road
road_usa,0.1445505098,0.9979191362,57708624,0.997921,0.0001867634636,85.51480731,Road
road_central,0.155448464,0.9972032688,33866826,0.997222,0.0018783391,84.41155691,Road
delaunay_n24,0.4064302018,0.2654219414,100663202,0.988931,73.16072189,-53.1260753,Delaunay
delaunay_n23,0.40620749,0.986510065,50331568,0.986639,0.01306810485,58.82378655,Delaunay
delaunay_n22,0.4061316766,0.9833918169,25165738,0.983405,0.001340558882,58.70092982,Delaunay
p2p-Gnutella31,0.1365943352,0.225129161,295784,0.225565,0.1932210078,39.3262363,Internet
p2p-Gnutella30,0.1209327753,0.2379489381,176656,0.257739,7.678334235,49.17700567,Internet
p2p-Gnutella25,0.1166128797,0.2327829665,109410,0.31936,27.10954204,49.9048915,Internet
coPapersCiteseer,0.8110477409,0.9172283911,32073440,0.918094,0.09428325204,11.57624985,Citation
citationCiteseer,0.2685819295,0.7994377228,2313294,0.799077,-0.04514243008,66.40364573,Citation
coAuthorsDBLP,0.4798746143,0.8199829206,1955352,0.820438,0.0554678588,41.47748663,Citation
amazon0601,0.4975661511,0.8883582634,4886816,0.882586,-0.6540171077,43.99037285,Consumer
amazon0505,0.497516312,0.8842249021,4878874,0.876528,-0.8781125218,43.73418902,Consumer
com-Amazon,0.5424505364,0.9230889254,1851744,0.92261,-0.05190984549,41.23528932,Consumer
coPapersDBLP,0.7295507519,0.8579620608,30491458,0.857283,-0.07921080752,14.96701483,Collaboration
com-DBLP,0.4406935876,0.8146123191,2099732,0.816047,0.1758086058,45.90143345,Collaboration
ca-AstroPh,0.3917356807,0.6178567668,396160,0.62116,0.5317845916,36.59765471,Collaboration
email-EuAll,0.3211307424,0.7164792614,730051,0.644091,-11.23882516,55.17933879,Communication
email-Enron,0.3468426841,0.6042068071,367662,0.608374,0.6849722194,42.59536966,Communication
email-Eu-core,0.001632484512,0.4251196468,32770,0.0143166,-2869.417647,99.6159941,Communication
wiki-Vote,0.03448526296,0.2563096733,103689,0.0234886,-991.2088132,86.54546958,Other
bips98_606,0.4216866393,0.3085312958,34738,0.25,-23.41251831,-36.67548321,Other
ak2010,0.576417704,0.9084867495,217098,0.920384,1.292639868,36.55188649,Other
kron_g500-logn19,0.0002094712269,0.02397695053,43562265,0.00887286,-170.2279821,99.12636419,Rmat
kron_g500-logn17,0.0001045197843,0.007237854165,10228360,0.00798803,9.391249591,98.55592857,Rmat
kron_g500-logn18,0.0001362640294,0.006855029642,21165908,0.0143043,52.07714015,98.01220364,Rmat
rgg_n_2_24_s0,0.707082457,0.9926095464,265114400,0.992653,0.004377523883,28.76529754,Rgg
rgg_n_2_18_s0,0.7027638264,0.9795144519,3094566,0.979724,0.02138848363,28.25385833,Rgg
archaea,0.8368227879,-1.96E-06,204784551,0.996241,1.00E+02,4.27E+07,Protein
virus,0.88051851,-5.63E-06,4583048,0.995748,1.00E+02,1.56E+07,Protein
eukarya,0.8399880964,-3.37E-07,359744161,0.995387,1.00E+02,2.49E+08,Protein