Graph,NMI Value,Edges,Domain
europe_osm,0.6412724565,108109320,Road
road_usa,0.6240916633,57708624,Road
road_central,0.6216433755,33866826,Road
delaunay_n24,0.5514445269,100663202,Delaunay
delaunay_n23,0.5567440999,50331568,Delaunay
delaunay_n22,0.5603466649,25165738,Delaunay
p2p-Gnutella31,0.2135027908,295784,Internet
p2p-Gnutella30,0.2288346097,176656,Internet
p2p-Gnutella25,0.2512357972,109410,Internet
coPapersCiteseer,0.6945874813,32073440,Citation
citationCiteseer,0.4612032572,2313294,Citation
coAuthorsDBLP,0.5784938623,1955352,Citation
amazon0601,0.546359924,4886816,Consumer
amazon0505,0.536369313,4878874,Consumer
com-Amazon,0.6040412342,1851744,Consumer
coPapersDBLP,0.602462985,30491458,Collaboration
com-DBLP,0.5742455899,2099732,Collaboration
ca-AstroPh,0.5561436546,396160,Collaboration
email-EuAll,0.6401132186,730051,Communication
email-Enron,0.6077334925,367662,Communication
email-Eu-core,1.04E-15,32770,Communication
wiki-Vote,0.1992666899,103689,Other
bips98_606,0.8562353901,34738,Other
ak2010,0.6281815003,217098,Other
kron_g500-logn19,0.01913146939,43562265,Rmat
kron_g500-logn17,0.01060578286,10228360,Rmat
kron_g500-logn18,0.01429650748,21165908,Rmat
rgg_n_2_24_s0,0.6166407076,265114400,Rgg
rgg_n_2_18_s0,0.6754937648,3094566,Rgg
archaea,0.5391283987,204784551,Protein
virus,0.7427652348,4583048,Protein
eukarya,0.5969272875,359744161,Protein